"ui","rootSource","uri","name"
NA,NA,NA,NA
"C0014762","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0014762","Erythroblasts"
"C0014772","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0014772","Red Blood Cell Count measurement"
"C0014792","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0014792","Erythrocytes"
"C0014793","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0014793","Abnormal Red Blood Cell"
"C0032461","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032461","Polycythemia"
"C0086252","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0086252","Red Blood Cell Transfusion"
"C0221016","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0221016","Red blood cell disorder"
"C0221395","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0221395","Erythropenia"
"C0221752","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0221752","Hematuria present"
"C0391870","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0391870","Abnormality of red blood cells"
"C0427471","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0427471","RBC's - megaloblasts"
"C0427478","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0427478","Red blood cell shape"
"C0427488","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0427488","Erythrocyte size"
"C0427491","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0427491","Hypochromic red blood cells"
"C0427492","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0427492","Normochromic red blood cells"
"C0427493","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0427493","Polychromatic red blood cells"
"C0430247","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0430247","Red blood cell test"
"C0439179","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0439179","% Ercs"
"C0455282","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0455282","Nucleated red blood cell count procedure"
"C0565885","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0565885","RBC's - normoblasts"
"C0684332","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0684332","Macrocytosis result"
"C0750685","SPN","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0750685","REAGENT,BLOOD CELLS,RED"
"C0772149","NDDF","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0772149","red blood cells,dehydrated"
